"count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1"
"0","36","61","3","0","0","2","82","16","0","0","31","64","5","0","0","16","83","1","0","0","6","88","6","0","0","8","72","20","0","0","20","61","19","0","0","32","60","8","0","0","11","81","8","0","0","18","70","12","0"
"0","34","64","2","0","0","2","84","14","0","0","31","65","4","0","0","13","86","1","0","0","6","89","5","0","0","6","74","20","0","0","18","62","20","0","0","31","64","5","0","0","12","81","7","0","0","17","70","13","0"
"0","34","64","2","0","0","2","84","14","0","0","32","65","3","0","0","13","86","1","0","0","4","92","4","0","0","5","76","19","0","0","18","63","19","0","0","32","62","6","0","0","12","82","6","0","0","19","67","14","0"
"0","33","65","2","0","0","2","86","12","0","0","30","69","1","0","0","14","85","1","0","0","4","92","4","0","0","3","77","20","0","0","16","69","15","0","0","28","67","5","0","0","9","86","5","0","0","18","69","13","0"
"0","32","67","1","0","0","1","88","11","0","0","30","70","0","0","0","13","86","1","0","0","3","94","3","0","0","1","81","18","0","0","16","68","16","0","0","27","70","3","0","0","8","87","5","0","0","18","69","13","0"
"0","30","69","1","0","0","0","90","10","0","0","30","70","0","0","0","13","87","0","0","0","3","94","3","0","0","1","79","20","0","0","15","69","16","0","0","27","69","4","0","0","9","86","5","0","0","16","71","13","0"
"0","31","68","1","0","0","0","91","9","0","0","29","71","0","0","0","12","88","0","0","0","2","95","3","0","0","0","82","18","0","0","14","70","16","0","0","26","71","3","0","0","9","86","5","0","0","16","72","12","0"
"0","31","68","1","0","0","0","91","9","0","0","28","72","0","0","0","13","87","0","0","0","2","95","3","0","0","0","82","18","0","0","13","72","15","0","0","23","74","3","0","0","9","86","5","0","0","15","73","12","0"
"0","32","68","0","0","0","0","92","8","0","0","28","72","0","0","0","12","88","0","0","0","1","96","3","0","0","0","83","17","0","0","13","73","14","0","0","23","77","0","0","0","10","87","3","0","0","15","74","11","0"
"0","33","67","0","0","0","0","92","8","0","0","30","70","0","0","0","11","89","0","0","0","0","98","2","0","0","0","83","17","0","0","12","75","13","0","0","24","76","0","0","0","8","88","4","0","0","14","75","11","0"
"0","33","67","0","0","0","0","92","8","0","0","31","69","0","0","0","11","89","0","0","0","0","98","2","0","0","0","84","16","0","0","12","77","11","0","0","24","76","0","0","0","7","91","2","0","0","14","74","12","0"
"0","33","67","0","0","0","0","93","7","0","0","31","69","0","0","0","11","89","0","0","0","0","99","1","0","0","0","84","16","0","0","11","76","13","0","0","25","75","0","0","0","5","94","1","0","0","14","74","12","0"
"0","33","67","0","0","0","0","93","7","0","0","29","71","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","10","78","12","0","0","24","76","0","0","0","6","93","1","0","0","15","73","12","0"
"0","35","65","0","0","0","0","94","6","0","0","30","70","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","10","78","12","0","0","24","76","0","0","0","6","94","0","0","0","14","73","13","0"
"0","35","65","0","0","0","0","95","5","0","0","30","70","0","0","0","9","91","0","0","0","0","100","0","0","0","0","84","16","0","0","10","77","13","0","0","23","77","0","0","0","4","96","0","0","0","12","75","13","0"
"0","36","64","0","0","0","0","95","5","0","0","30","70","0","0","0","9","91","0","0","0","0","100","0","0","0","0","84","16","0","0","10","78","12","0","0","25","75","0","0","0","3","97","0","0","0","10","77","13","0"
"0","36","64","0","0","0","0","96","4","0","0","29","71","0","0","0","9","91","0","0","0","0","100","0","0","0","0","84","16","0","0","10","80","10","0","0","25","75","0","0","0","3","97","0","0","0","10","77","13","0"
"0","36","64","0","0","0","0","96","4","0","0","29","71","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","10","80","10","0","0","23","77","0","0","0","3","97","0","0","0","10","77","13","0"
"0","34","66","0","0","0","0","97","3","0","0","29","71","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","9","81","10","0","0","24","76","0","0","0","3","97","0","0","0","9","78","13","0"
"0","33","67","0","0","0","0","97","3","0","0","30","70","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","9","81","10","0","0","23","77","0","0","0","3","97","0","0","0","9","77","14","0"
"0","33","67","0","0","0","0","96","4","0","0","30","70","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","7","84","9","0","0","23","77","0","0","0","4","96","0","0","0","9","77","14","0"
"0","33","67","0","0","0","0","96","4","0","0","30","70","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","86","9","0","0","24","76","0","0","0","3","97","0","0","0","9","77","14","0"
"0","31","69","0","0","0","0","98","2","0","0","30","70","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","86","9","0","0","23","77","0","0","0","3","97","0","0","0","9","77","14","0"
"0","28","72","0","0","0","0","98","2","0","0","30","70","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","86","9","0","0","23","77","0","0","0","3","97","0","0","0","9","77","14","0"
"0","28","72","0","0","0","0","98","2","0","0","30","70","0","0","0","9","91","0","0","0","0","100","0","0","0","0","84","16","0","0","5","88","7","0","0","22","78","0","0","0","3","97","0","0","0","9","77","14","0"
"0","28","72","0","0","0","0","98","2","0","0","30","70","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","88","7","0","0","20","80","0","0","0","3","97","0","0","0","9","77","14","0"
"0","29","71","0","0","0","0","99","1","0","0","30","70","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","88","7","0","0","21","79","0","0","0","4","96","0","0","0","9","78","13","0"
"0","29","71","0","0","0","0","99","1","0","0","28","72","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","88","7","0","0","20","80","0","0","0","3","97","0","0","0","9","79","12","0"
"0","27","73","0","0","0","0","99","1","0","0","29","71","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","88","7","0","0","19","81","0","0","0","2","98","0","0","0","9","78","13","0"
