"count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1"
"0","13","87","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","99","1","0"
"0","13","87","0","0","0","0","100","0","0","0","20","80","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","99","1","0"
"0","12","88","0","0","0","0","100","0","0","0","18","82","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","99","1","0"
"0","13","87","0","0","0","0","100","0","0","0","19","81","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","99","1","0"
"0","13","87","0","0","0","0","100","0","0","0","18","82","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","13","87","0","0","0","0","100","0","0","0","18","82","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","11","89","0","0","0","0","100","0","0","0","0","100","0","0"
"0","13","87","0","0","0","0","100","0","0","0","18","82","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","16","84","0","0","0","10","90","0","0","0","0","100","0","0","0","0","86","14","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","17","83","0","0","0","10","90","0","0","0","0","100","0","0","0","0","86","14","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","18","82","0","0","0","10","90","0","0","0","0","100","0","0","0","0","86","14","0","0","0","100","0","0","0","11","89","0","0","0","0","100","0","0","0","0","100","0","0"
"0","13","87","0","0","0","0","100","0","0","0","17","83","0","0","0","10","90","0","0","0","0","100","0","0","0","0","86","14","0","0","0","100","0","0","0","11","89","0","0","0","0","100","0","0","0","0","100","0","0"
"0","13","87","0","0","0","0","100","0","0","0","17","83","0","0","0","10","90","0","0","0","0","100","0","0","0","0","85","15","0","0","0","100","0","0","0","11","89","0","0","0","0","100","0","0","0","0","100","0","0"
"0","13","87","0","0","0","0","100","0","0","0","17","83","0","0","0","10","90","0","0","0","0","100","0","0","0","0","86","14","0","0","0","100","0","0","0","11","89","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","17","83","0","0","0","10","90","0","0","0","0","100","0","0","0","0","87","13","0","0","0","100","0","0","0","11","89","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","18","82","0","0","0","9","91","0","0","0","0","100","0","0","0","0","86","14","0","0","0","100","0","0","0","11","89","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","18","82","0","0","0","9","91","0","0","0","0","100","0","0","0","0","87","13","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","18","82","0","0","0","9","91","0","0","0","0","100","0","0","0","0","87","13","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","17","83","0","0","0","9","91","0","0","0","0","100","0","0","0","0","86","14","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","16","84","0","0","0","9","91","0","0","0","0","100","0","0","0","0","86","14","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","16","84","0","0","0","9","91","0","0","0","0","100","0","0","0","0","87","13","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","9","91","0","0","0","0","100","0","0","0","0","87","13","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","8","92","0","0","0","0","100","0","0","0","0","87","13","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","8","92","0","0","0","0","100","0","0","0","0","88","12","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","15","85","0","0","0","8","92","0","0","0","0","100","0","0","0","0","88","12","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","15","85","0","0","0","9","91","0","0","0","0","100","0","0","0","0","88","12","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","9","91","0","0","0","0","100","0","0","0","0","88","12","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","9","91","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","8","92","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","8","92","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","10","90","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","8","92","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","9","91","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","9","91","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","15","85","0","0","0","9","91","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","14","86","0","0","0","9","91","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","14","86","0","0","0","9","91","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","14","86","0","0","0","9","91","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","9","91","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","15","85","0","0","0","8","92","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","8","92","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","13","87","0","0","0","8","92","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","8","92","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","13","87","0","0","0","8","92","0","0","0","0","100","0","0","0","0","90","10","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","13","87","0","0","0","8","92","0","0","0","0","100","0","0","0","0","90","10","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","6","94","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","6","94","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","13","87","0","0","0","0","100","0","0","0","13","87","0","0","0","7","93","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","13","87","0","0","0","7","93","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","13","87","0","0","0","7","93","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","7","93","0","0","0","0","100","0","0","0","0","90","10","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","7","93","0","0","0","0","100","0","0","0","0","91","9","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","14","86","0","0","0","7","93","0","0","0","0","100","0","0","0","0","91","9","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","6","94","0","0","0","0","100","0","0","0","0","91","9","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","7","93","0","0","0","0","100","0","0","0","0","90","10","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","6","94","0","0","0","0","100","0","0","0","0","91","9","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","13","87","0","0","0","6","94","0","0","0","0","100","0","0","0","0","91","9","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","14","86","0","0","0","7","93","0","0","0","0","100","0","0","0","0","91","9","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","12","88","0","0","0","0","100","0","0","0","13","87","0","0","0","7","93","0","0","0","0","100","0","0","0","0","91","9","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","11","89","0","0","0","7","93","0","0","0","0","100","0","0","0","0","90","10","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","12","88","0","0","0","7","93","0","0","0","0","100","0","0","0","0","90","10","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","12","88","0","0","0","7","93","0","0","0","0","100","0","0","0","0","90","10","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","12","88","0","0","0","6","94","0","0","0","0","100","0","0","0","0","89","11","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","10","90","0","0","0","6","94","0","0","0","0","100","0","0","0","0","91","9","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","10","90","0","0","0","5","95","0","0","0","0","100","0","0","0","0","91","9","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","9","91","0","0","0","7","93","0","0","0","0","100","0","0","0","0","94","6","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","10","90","0","0","0","7","93","0","0","0","0","100","0","0","0","0","94","6","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","11","89","0","0","0","7","93","0","0","0","0","100","0","0","0","0","95","5","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","11","89","0","0","0","7","93","0","0","0","0","100","0","0","0","0","95","5","0","0","0","100","0","0","0","9","91","0","0","0","0","100","0","0","0","0","100","0","0"
"0","11","89","0","0","0","0","100","0","0","0","11","89","0","0","0","7","93","0","0","0","0","100","0","0","0","0","95","5","0","0","0","100","0","0","0","8","92","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","10","90","0","0","0","7","93","0","0","0","0","100","0","0","0","0","95","5","0","0","0","100","0","0","0","8","92","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","11","89","0","0","0","6","94","0","0","0","0","100","0","0","0","0","95","5","0","0","0","100","0","0","0","8","92","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","10","90","0","0","0","5","95","0","0","0","0","100","0","0","0","0","93","7","0","0","0","100","0","0","0","8","92","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","9","91","0","0","0","4","96","0","0","0","0","100","0","0","0","0","93","7","0","0","0","100","0","0","0","8","92","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","8","92","0","0","0","5","95","0","0","0","0","100","0","0","0","0","95","5","0","0","0","100","0","0","0","8","92","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","7","93","0","0","0","3","97","0","0","0","0","100","0","0","0","0","96","4","0","0","0","100","0","0","0","8","92","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","5","95","0","0","0","3","97","0","0","0","0","100","0","0","0","0","96","4","0","0","0","100","0","0","0","8","92","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","5","95","0","0","0","3","97","0","0","0","0","100","0","0","0","0","97","3","0","0","0","100","0","0","0","8","92","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","5","95","0","0","0","3","97","0","0","0","0","100","0","0","0","0","97","3","0","0","0","100","0","0","0","8","92","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","4","96","0","0","0","3","97","0","0","0","0","100","0","0","0","0","97","3","0","0","0","100","0","0","0","7","93","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","4","96","0","0","0","3","97","0","0","0","0","100","0","0","0","0","97","3","0","0","0","100","0","0","0","6","94","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","2","98","0","0","0","3","97","0","0","0","0","100","0","0","0","0","97","3","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","1","99","0","0","0","3","97","0","0","0","0","100","0","0","0","0","98","2","0","0","0","100","0","0","0","6","94","0","0","0","0","100","0","0","0","0","100","0","0"
"0","10","90","0","0","0","0","100","0","0","0","1","99","0","0","0","3","97","0","0","0","0","100","0","0","0","0","98","2","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","0","100","0","0","0","2","98","0","0","0","0","100","0","0","0","0","98","2","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","8","92","0","0","0","0","100","0","0","0","0","100","0","0","0","2","98","0","0","0","0","100","0","0","0","0","98","2","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","0","100","0","0","0","2","98","0","0","0","0","100","0","0","0","0","98","2","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","0","100","0","0","0","2","98","0","0","0","0","100","0","0","0","0","98","2","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","0","100","0","0","0","2","98","0","0","0","0","100","0","0","0","0","99","1","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","0","100","0","0","0","2","98","0","0","0","0","100","0","0","0","0","99","1","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","99","1","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","8","92","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","5","95","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","4","96","0","0","0","0","100","0","0","0","0","100","0","0"
"0","9","91","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","4","96","0","0","0","0","100","0","0","0","0","100","0","0"
"0","8","92","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","4","96","0","0","0","0","100","0","0","0","0","100","0","0"
"0","8","92","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","4","96","0","0","0","0","100","0","0","0","0","100","0","0"
"0","8","92","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","3","97","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","100","0","0"
"0","8","92","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","2","98","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","1","99","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","7","93","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
"0","6","94","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0","0","0","100","0","0"
