"sum-change","sum-change","sum-change","sum-change","sum-change","sum-change","sum-change","sum-change","sum-change","sum-change"
"0","0","0","0","0","0","0","0","0","0"
"39.84612285354715","35.416780957222784","36.6454702157552","31.11678850083266","36.15306545240408","40.16300258559053","39.86923068339523","36.47036144954264","35.46362804946772","35.51162848826722"
"32.41812476147196","31.617008817101386","34.586210206272646","28.82251788599946","30.89761034849216","34.55450040116533","30.98026975363892","31.769522731709138","27.832043098067828","28.341095563748723"
"25.182615353529233","27.97941928297299","29.06156561568775","29.7429728963733","28.69632003013392","33.09248990827005","34.982279708387395","23.28278752943604","23.29962208990462","26.964125363299278"
"28.89942562391667","29.553151819793367","22.50024874314795","24.806196363670683","26.412545411866272","30.978307782600087","29.18076754031266","32.152682964488456","18.347104058251208","20.589347939054374"
"22.057529346724746","25.807385027030577","24.600250241586817","27.826397282188868","20.74950095129201","24.431085073043853","30.057313061681853","28.7139049242699","15.249357585702215","20.015161293275607"
"24.71546147772997","27.712163427525823","19.55452898688577","27.033574638814045","19.961963863701307","31.212361708976022","22.822258155943953","23.716138043225747","12.192046796234386","22.026849427967395"
"25.828537749256647","21.887161352898783","25.160872632058354","29.007246443115505","18.034872889559928","25.388939997786743","22.892642759691352","20.150558409144942","11.790766702352023","26.480517364493146"
"30.183977460490777","17.894618020715523","26.397068322628996","22.536158612410826","25.276664786042463","23.428552432974726","29.080443021752355","18.096059092315965","11.288549505567175","18.264432643998862"
"23.713376372248838","19.3089842384154","28.974699250553552","27.872348299124777","26.40944110070854","21.916238859775753","17.918071698279856","18.035351112713137","11.593674518961244","17.150216747667795"
"26.69200278971654","22.952481825565016","25.33699695675821","47.62530935626294","22.73877980352128","15.866054236443363","12.661100418402606","24.672519219641835","11.95618251246525","17.867589273796415"
"27.547359757839832","22.45491041038079","27.891713220210143","32.61076577397122","22.28359452725742","16.247949323652975","15.733746676160871","19.416345657215313","15.536020798462221","14.38315503150841"
"32.444490395350705","23.00213190837317","23.215691507582907","34.14951921015156","24.507461792316732","17.278485383376466","13.871905011503568","15.369619521786808","17.738633341944265","12.26879358747764"
"28.701690440124093","22.214328629028742","26.20676491364455","26.402897419309703","23.475737437759662","23.122026297322886","10.685651315372363","14.574087397974548","16.87583672477443","15.330411126513297"
"30.766957166075834","26.223146210202597","18.507716841123855","26.958019646162917","22.233587396586334","20.93437171099706","5.5235941127414385","9.568971498852276","13.002341855309123","17.76814329839762"
"24.247135004695306","33.82438904338351","23.254880807509803","31.93096215072758","20.718696515514658","13.026702738575503","6.922489287487052","12.582729604020718","9.368001825919313","17.643581041280896"
"21.258946831185416","29.540135437247418","34.73419532867913","33.964506038933635","22.69369403239445","11.615970843599266","8.704047196057731","11.990589723765405","6.921663892391507","17.131551476429035"
"28.935426399582393","28.07626361237885","30.441019717412022","29.131189655262997","18.465335396944432","12.312081724725719","7.5042958620317135","11.429051077452572","6.8635589299142055","15.907003343972944"
"17.253485776029038","22.66540561107169","22.30883403913987","23.246299208375962","22.47775700146678","10.92650578533822","6.15433437265195","11.301404087995955","7.54682466767734","15.278324281703382"
"19.162464269046342","25.67476601217485","32.23629957766325","21.780996174807125","25.354803052695935","8.622031667737796","4.527009294464734","10.011962523270528","5.74727646626911","15.485944442026497"
"19.511335202986846","21.037558840973908","28.907181310338643","11.579591914949326","25.560088664549188","12.909433387903269","4.356851277831195","10.386871395744512","4.048192490296178","16.505152860155725"
"24.648709240743376","26.742109632670765","24.220875063354","10.041065792771606","20.749971126661418","14.097041154765963","3.5252380854458485","8.539044240295661","2.810119942308689","16.253008720350913"
"20.51568873589719","27.023412462373997","25.42437746601288","14.495495437495146","21.266390125699957","13.050213444052813","4.356567883643041","6.666164518784977","3.29480531865702","18.803603955093937"
"22.852378669265576","21.45611653334545","28.6467083131117","11.578525883051064","22.9982138104923","13.815516719744634","5.136951945608608","8.799343297589829","3.74575025022333","15.923672497156865"
"21.075427120891984","30.09978238989249","22.202046618914075","15.586392295357225","24.336112935173745","11.266622110902043","4.04438003622351","8.608894595896675","3.7269730636937415","19.329910827465483"
"24.095430530116648","25.99348682675303","23.31175270802228","16.628815984842806","20.762137312625633","11.538879479298025","4.315898886749267","9.92308646248039","3.4564645957251936","11.226938796679358"
"28.228451034962834","30.430466002882312","23.81970759580104","21.29593498455035","16.650225115578806","5.55155149834515","5.265685765680266","9.650090825073345","2.7801934258038266","12.816441904693594"
"23.76346330374061","29.583644378459887","26.94824212934917","19.81321362314007","25.040622702819","5.823808866741132","5.6425325661498675","10.284958160677572","3.4338734809184506","14.361689114210254"
"30.116058325461776","25.572122855018648","22.41562145936567","15.531653566488052","25.826647873867895","6.689870118568459","6.592439798496306","6.367775721152178","2.1300348441101615","12.622682137273337"
"29.777631424717672","23.73656682371658","27.90426264145623","30.570658573153587","26.277260041806326","8.248313547105912","5.323071480412737","6.069386923519379","1.0142605274539533","17.84565568987636"
"32.34855219107288","17.738915248667567","28.8602831535633","38.695868855504244","24.18978154796536","8.660612518273277","5.304664399717399","5.834481026450964","1.06677815876556","12.56169006534581"
"30.116058325461776","21.83685202440696","28.10484637523271","27.443387504696847","17.289918899419305","9.485210460608","5.928842833383849","3.4029134500133114","1.5852039798959094","19.628918565310844"
"36.80708024792705","19.47017080390598","18.685335724488098","26.784134917295457","23.555896767281503","8.84211743053726","6.1568683725021","3.269580193847912","1.6867177690981645","13.23743378639401"
"32.23143677457948","18.171826530048243","24.681931794357425","19.867952352009237","22.636201818636113","8.702075827765878","5.659024722891491","2.5839265377921756","1.728086070434498","17.679415647523726"
